Num_Features,k,F1_Validation
13,7,0.039839737226715514
13,9,0.038313444066005335
13,11,0.037940742846771645
13,13,0.03788107953759599
13,15,0.03755723912098151
14,1,0.1322204032188589
14,3,0.1322204032188589
14,5,0.1322204032188589
14,7,0.1322204032188589
14,9,0.1322204032188589
14,11,0.1322204032188589
14,13,0.1322204032188589
14,15,0.20401091464629065
15,1,0.1322204032188589
15,3,0.1322204032188589
15,5,0.1322204032188589
15,7,0.1322204032188589
15,9,0.1322204032188589
15,11,0.1322204032188589
15,13,0.1322204032188589
15,15,0.2040322994745614
16,1,0.1322204032188589
16,3,0.1322204032188589
16,5,0.1322204032188589
16,7,0.1322204032188589
16,9,0.1322204032188589
16,11,0.1322204032188589
16,13,0.1322204032188589
16,15,0.20509824377160646
17,1,0.1322204032188589
17,3,0.1322204032188589
17,5,0.1322204032188589
17,7,0.1322204032188589
17,9,0.1322204032188589
17,11,0.1322204032188589
17,13,0.1322204032188589
17,15,0.20506485201331937
18,1,0.1322204032188589
18,3,0.1322204032188589
18,5,0.1322204032188589
18,7,0.1322204032188589
18,9,0.1322204032188589
18,11,0.1322204032188589
18,13,0.1322204032188589
18,15,0.20508142840349483
19,1,0.1322204032188589
19,3,0.1322204032188589
19,5,0.1322204032188589
19,7,0.1322204032188589
19,9,0.1322204032188589
19,11,0.1322204032188589
19,13,0.1322204032188589
19,15,0.20523888606013405
20,1,0.1322204032188589
20,3,0.1322204032188589
20,5,0.1322204032188589
20,7,0.1322204032188589
20,9,0.1322204032188589
20,11,0.1322204032188589
20,13,0.1322204032188589
20,15,0.2052475841598534
21,1,0.1322204032188589
21,3,0.1322204032188589
21,5,0.1322204032188589
21,7,0.1322204032188589
21,9,0.1322204032188589
21,11,0.1322204032188589
21,13,0.1322204032188589
21,15,0.20455083329830895
22,1,0.1322204032188589
22,3,0.1322204032188589
22,5,0.1322204032188589
22,7,0.1322204032188589
22,9,0.1322204032188589
22,11,0.1322204032188589
22,13,0.1322204032188589
22,15,0.20478903905790322
23,1,0.1322204032188589
23,3,0.1322204032188589
23,5,0.1322204032188589
23,7,0.1322204032188589
23,9,0.1322204032188589
23,11,0.1322204032188589
23,13,0.1322204032188589
23,15,0.20503669464513088
24,1,0.1322204032188589
24,3,0.1322204032188589
24,5,0.1322204032188589
24,7,0.1322204032188589
24,9,0.1322204032188589
24,11,0.1322204032188589
24,13,0.1322204032188589
24,15,0.20598226211412315
25,1,0.1322204032188589
25,3,0.1322204032188589
25,5,0.1322204032188589
25,7,0.1322204032188589
25,9,0.1322204032188589
25,11,0.13246422141996186
25,13,0.1322204032188589
25,15,0.20534112138610078
26,1,0.19843808758070466
26,3,0.19843808758070466
26,5,0.19843808758070466
26,7,0.19843808758070466
26,9,0.19843808758070466
26,11,0.19843808758070466
26,13,0.19843808758070466
26,15,0.19843808758070466
27,1,0.19843808758070466
27,3,0.19843808758070466
27,5,0.19843808758070466
27,7,0.19843808758070466
27,9,0.19843808758070466
27,11,0.19843808758070466
27,13,0.19843808758070466
27,15,0.19843808758070466
28,1,0.19843808758070466
28,3,0.19843808758070466
28,5,0.19843808758070466
28,7,0.19843808758070466
28,9,0.19843808758070466
28,11,0.19843808758070466
28,13,0.19843808758070466
28,15,0.19843808758070466
29,1,0.19843808758070466
29,3,0.19843808758070466
29,5,0.19843808758070466
29,7,0.19843808758070466
29,9,0.19843808758070466
